Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
26,3,194,3.0095672648678877
26,4,291,3.0672562894152873
26,5,88,3.243486134454991
27,1,228,2.7292026217859604
27,2,304,3.8430630113494577
27,3,128,3.9060981957080614
27,4,297,3.9900976999676563
27,5,15,4.107735703355481
28,1,26,1.8566502020021314
28,2,16,2.4030231169474296
28,3,79,2.659184877727882
28,4,291,2.902731593673476
28,5,74,3.0521120940311017
29,1,70,1.6445293012922786
29,2,124,1.7159101921684645
29,3,281,2.0103709778628724
29,4,127,2.0713139428019036
29,5,157,2.1619892137004157
30,1,116,4.691927987851804
30,2,66,5.138695578552742
30,3,221,5.614808346700482
30,4,297,5.857468228956112
30,5,197,5.864795203400604
31,1,195,1.3890818441262327
31,2,315,1.79070529115666
31,3,307,1.8008448747594281
31,4,21,1.838563456934715
31,5,306,2.0644190737809183
32,1,292,8.181487627788032
32,2,87,10.136065963219952
32,3,30,10.64065141479323
32,4,50,11.067021503990393
32,5,186,11.613339495840076
33,1,43,1.377883774475646
33,2,260,1.3867163801138334
33,3,148,1.5864549576468219
33,4,160,1.5922855606451012
33,5,211,1.6850273467319699
34,1,45,3.009096501452845
34,2,93,3.2238634565271695
34,3,171,3.2936161412800615
34,4,305,3.3560908918335706
34,5,126,3.429190522401717
35,1,120,2.2673095813633717
35,2,321,2.341026593550349
35,3,182,2.514448758994126
35,4,180,2.515326857533559
35,5,106,2.5262197148467243
36,1,117,4.640704728379032
36,2,121,5.832993356933282
36,3,239,5.990237157060694
36,4,94,6.119094150312643
36,5,16,6.1729092717626175
37,1,82,7.226509265620314
37,2,65,7.498028166946885
37,3,103,7.578990423182698
37,4,204,8.065409234132323
37,5,100,8.2114617162445
38,1,5,4.577921353260312
38,2,301,4.833799057910033
38,3,12,5.260864831292439
38,4,135,5.336174304303546
38,5,299,5.3877977388255065
39,1,8,2.6006502196462273
39,2,209,2.855924574682591
39,3,106,3.082787484121257
39,4,135,3.1891169462560125
39,5,26,3.256266843815022
40,1,242,3.5532058573969207
40,2,88,3.5947088111380348
40,3,274,3.7553555238813097
40,4,121,3.894026380333959
40,5,282,3.998040588990828
41,1,26,3.3036008042805953
41,2,39,4.425011544926036
41,3,28,4.429929886746872
41,4,1,4.459952626340734
41,5,117,4.599534088731497
42,1,107,1.6228069667038323
42,2,261,2.834093566536164
42,3,314,2.893865721979305
42,4,132,2.9838577027714575
42,5,188,3.2517762122986213
43,1,33,1.377883774475646
43,2,260,1.8435842611185898
43,3,160,1.9236818861812712
43,4,158,2.1905409556695448
43,5,151,2.285717785181242
44,1,198,3.0314266765583944
44,2,314,3.0808097380539716
44,3,234,3.0971265773416174
44,4,107,3.189655131033
44,5,298,3.3872979271850143
45,1,109,1.046022372676598
45,2,93,1.377019099746109
45,3,305,1.5485716071191455
45,4,96,2.267849734201955
45,5,114,2.3454730839239306
46,1,159,2.262526569637425
46,2,130,2.6530243967036378
46,3,138,2.6601663690287705
46,4,185,2.938727261670833
46,5,170,3.1557934468772233
47,1,131,1.0845628096091133
47,2,146,1.1235077646492744
47,3,275,1.4093836587656756
47,4,141,1.414126682915584
47,5,62,1.5432040214953062
48,1,280,5.319496106994932
48,2,75,5.959064138737734
48,3,143,6.319740945708664
48,4,98,6.66089239123815
48,5,104,7.606772603302588
49,1,80,5.307326031200562
49,2,71,5.380609060196558
49,3,152,5.424375908233668
49,4,59,5.796436934770288
49,5,296,5.871725593327792
50,1,221,5.674516024530976
50,2,66,5.784415155013973
50,3,189,5.876039038371448
50,4,67,6.071916549320446
50,5,30,6.15656960668364
51,1,79,1.4491216344135398
51,2,74,1.7550376093785534
51,3,234,1.859918143201371
51,4,58,2.0408773395396698
51,5,16,2.0880670748242136
52,1,16,1.9777808181026066
52,2,51,2.1721293281149685
52,3,58,2.453179092622497
52,4,234,2.457605375072634
52,5,79,2.5491962993858572
53,1,270,2.641884395085739
53,2,95,2.6422462616963323
53,3,293,2.6746092042137617
53,4,159,2.790917547341147
53,5,307,2.8098208815647303
54,1,124,2.605245865303979
54,2,127,2.6416715311895556
54,3,281,2.652867560266698
54,4,288,2.9657576470411637
54,5,320,2.986982348763336
55,1,225,1.2118390525295835
55,2,293,1.80611222637011
55,3,283,2.2651819350272318
55,4,310,2.4473730151966113
55,5,213,2.550654316844673
56,1,269,1.3850138904798486
56,2,6,1.7792660539263034
56,3,195,1.9666522338460244
56,4,113,2.116053800511294
56,5,8,2.181180994668863
57,1,2,2.8807038359979917
57,2,227,3.5996015754623465
57,3,238,3.7009900535320317
57,4,199,3.976935461454778
57,5,236,4.011911483171509
58,1,88,1.818957785558567
58,2,234,1.8407412104488985
58,3,51,2.0408773395396698
58,4,74,2.360411936424137
58,5,79,2.4074077391703774
59,1,296,1.2542851351087003
59,2,267,3.2768960825988422
59,3,182,3.4026402818168675
59,4,6,3.5419276426413986
59,5,248,3.6264539221900915
60,1,13,2.29509640924125
60,2,228,3.702071294663059
60,3,142,3.971588772789251
60,4,290,4.212762338719586
60,5,252,4.300061416451288
61,1,210,1.7731139817896733
61,2,181,1.7792279616214894
61,3,229,2.5990723358554155
61,4,320,2.67809555371704
61,5,162,3.022565957975206
62,1,146,0.9565910973500176
62,2,131,1.0262768407722644
62,3,214,1.4880003135224245
62,4,47,1.5432040214953062
62,5,275,1.5670204738623597
63,1,257,3.0137618161108324
63,2,210,3.832524271733646
63,3,161,3.8672572492014887
63,4,157,4.2420698848359555
