Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
25,5,18,0.5344831347465515
26,1,28,0.15014934539794922
26,2,41,0.1796010136604309
26,3,282,0.1910630464553833
26,4,222,0.33088093996047974
26,5,274,0.3556230068206787
27,1,228,0.20809388160705566
27,2,78,0.41453003883361816
27,3,264,0.42465656995773315
27,4,290,0.45997583866119385
27,5,187,0.47037822008132935
28,1,26,0.15014934539794922
28,2,16,0.2672837972640991
28,3,256,0.30346566438674927
28,4,79,0.32640236616134644
28,5,222,0.37702155113220215
29,1,70,0.15255135297775269
29,2,124,0.1791970133781433
29,3,157,0.2444392442703247
29,4,281,0.246937096118927
29,5,317,0.2615104913711548
30,1,32,0.1627315878868103
30,2,87,0.26941078901290894
30,3,292,0.2867492437362671
30,4,186,0.2882511019706726
30,5,116,0.3309733271598816
31,1,195,0.10583603382110596
31,2,307,0.15576642751693726
31,3,315,0.18622714281082153
31,4,21,0.19849401712417603
31,5,148,0.23069143295288086
32,1,292,0.14825677871704102
32,2,30,0.1627315878868103
32,3,87,0.24172759056091309
32,4,50,0.262775182723999
32,5,186,0.33741533756256104
33,1,43,0.06907600164413452
33,2,260,0.08065235614776611
33,3,148,0.10811078548431396
33,4,160,0.10845816135406494
33,5,158,0.11671286821365356
34,1,45,0.2789914011955261
34,2,93,0.2999665141105652
34,3,171,0.3349660634994507
34,4,305,0.3544648289680481
34,5,109,0.37434738874435425
35,1,120,0.16576659679412842
35,2,321,0.26491498947143555
35,3,182,0.32451069355010986
35,4,106,0.3412414789199829
35,5,267,0.3431241512298584
36,1,117,0.33874964714050293
36,2,94,0.4936279058456421
36,3,133,0.524705171585083
36,4,239,0.5722370147705078
36,5,207,0.5755689144134521
37,1,82,0.35182005167007446
37,2,65,0.42238694429397583
37,3,103,0.4289208650588989
37,4,154,0.4549251198768616
37,5,276,0.4747462868690491
38,1,12,0.32558614015579224
38,2,5,0.32799726724624634
38,3,301,0.33219730854034424
38,4,161,0.4493945240974426
38,5,257,0.4701409339904785
39,1,8,0.2815602421760559
39,2,209,0.3958969712257385
39,3,135,0.40358662605285645
39,4,41,0.4105854630470276
39,5,26,0.4439355134963989
40,1,242,0.3519914746284485
40,2,274,0.37010079622268677
40,3,88,0.38156044483184814
40,4,245,0.3912801146507263
40,5,121,0.3995876908302307
41,1,26,0.1796010136604309
41,2,69,0.3621779680252075
41,3,133,0.37468570470809937
41,4,117,0.40730106830596924
41,5,39,0.4105854630470276
42,1,107,0.060763776302337646
42,2,261,0.20650452375411987
42,3,314,0.21657907962799072
42,4,132,0.22834563255310059
42,5,188,0.27303004264831543
43,1,33,0.06907600164413452
43,2,260,0.1220044493675232
43,3,160,0.13169407844543457
43,4,158,0.17003554105758667
43,5,151,0.2041853666305542
44,1,198,0.26860684156417847
44,2,107,0.2930813431739807
44,3,314,0.295942485332489
44,4,234,0.29657161235809326
44,5,298,0.3324214220046997
45,1,109,0.04390895366668701
45,2,93,0.05932706594467163
45,3,305,0.10245317220687866
45,4,114,0.18346619606018066
45,5,96,0.22684228420257568
46,1,159,0.2322019338607788
46,2,138,0.27550822496414185
46,3,170,0.31435030698776245
46,4,130,0.3145228624343872
46,5,77,0.3248322606086731
47,1,131,0.04972130060195923
