Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
21,5,300,3.6200042862807793
22,1,217,6.567173688264485
22,2,268,7.103438745817295
22,3,98,7.265875234207467
22,4,157,7.317241899478143
22,5,219,7.347373080913929
23,1,66,3.592706162790503
23,2,29,3.6928699183335065
23,3,281,3.7076736395411234
23,4,317,3.8609040503643146
23,5,200,3.8878075562625742
24,1,242,4.691786340067523
24,2,3,4.987156664279641
24,3,40,5.021204180425249
24,4,237,5.7447941058813115
24,5,245,5.760933836758414
25,1,218,3.9893350181626035
25,2,118,4.368677680274336
25,3,119,4.676765389315827
25,4,90,5.14038892685097
25,5,238,5.147687635894596
26,1,28,3.2294705024609334
26,2,282,3.2776162522858447
26,3,88,3.510582902815503
26,4,274,3.6171938089200397
26,5,313,3.6701863048583654
27,1,228,2.936573155910498
27,2,15,4.1183407584808664
27,3,264,4.2499989955100705
27,4,78,4.451130568036538
27,5,304,4.518728663149376
28,1,26,3.2294705024609334
28,2,16,3.307353040952072
28,3,193,3.4855863274190813
28,4,79,3.750123487191355
28,5,283,3.767353477484397
29,1,127,2.432686590963106
29,2,124,2.5161746411348855
29,3,136,2.5612606830670983
29,4,97,2.8908559742355417
29,5,281,2.9053591983748404
30,1,33,4.876837194099512
30,2,116,5.134923608565199
30,3,180,5.201849389651175
30,4,182,5.330141834127846
30,5,211,5.353160610965669
31,1,195,2.11387495916495
31,2,307,2.2266563135630015
31,3,113,2.5644920480575655
31,4,21,2.716414454488007
31,5,315,2.914624730794249
32,1,30,10.251117090743964
32,2,294,12.333959883157794
32,3,308,12.44737545807759
32,4,61,12.886944057371922
32,5,8,13.134840290289882
33,1,211,1.750443196900259
33,2,43,1.8647633776730004
33,3,260,1.8960671209087792
33,4,306,2.109414395581484
33,5,160,2.20424397380274
34,1,181,3.9776967774878242
34,2,136,4.0479153762796924
34,3,68,4.137512146368846
34,4,210,4.154043786529808
34,5,169,4.198472081608558
35,1,182,2.762101711461903
35,2,180,2.862564667330277
35,3,97,2.964121824954711
35,4,120,3.1130230907546363
35,5,157,3.2735303733170302
36,1,117,7.256667691698176
36,2,318,8.253609578924047
36,3,232,8.776449225259727
36,4,29,8.802966478518368
36,5,245,8.959511781431024
37,1,103,7.478790893734747
37,2,82,8.326019929976956
37,3,289,8.58847309072163
37,4,23,9.31535985391405
37,5,156,9.32044411914131
38,1,274,5.630247835361111
38,2,5,5.668375133766155
38,3,135,5.8393649799866605
38,4,173,5.916079361207978
38,5,265,6.04538099684154
39,1,8,3.78510772426146
39,2,307,4.281386602768975
39,3,167,4.297392052676693
39,4,161,4.479139474881651
39,5,291,4.613180148048309
40,1,242,3.5663098547625265
40,2,245,3.7000290648454897
40,3,121,3.9594225284631817
40,4,237,4.757380023493135
40,5,3,4.8139765175306195
41,1,26,4.96525555674481
41,2,291,5.244022996763125
41,3,39,5.432688055314228
41,4,161,5.87525673957455
41,5,167,5.914125978566643
42,1,107,2.0326778657018556
42,2,254,3.076053700750598
