,SEX,AGE,BMI,REA,ECMO1,ECMO2,ECMO3,ECMO4,SHOCK,PERFl,PERFr,CAD2,CAD3,CLlca,CLlcx,CLrca,CLlad,TFBAN,KM,RADT,FDP,DBT,CKadm,CKmax,CKMBa,CKMBm,TROPa,TROPm,KREAa,KREAm,BNP,LDHa,LDHm,ADP,LDL,TRIGL,HBA1C,LPa,LACa,LACm,HoINT,HTN,HLP,DM,FAMH,NIC1,NIC2,LVEF_dis
CAD2,3.7988511428775793e-06,0.0005794202507415741,0.0017912522511919612,7.015725767426795e-06,0.00016929310892403068,3.497856184324521e-05,0.0001769097135374754,0.0001721052778378349,0.0002679279613997312,2.505217179791157e-05,1.116365151180822e-06,1.0,0.2706097339390015,7.062592984028106e-05,0.0021215727464701513,6.486677280334546e-08,0.0005101319230667097,0.0001912699925679142,0.0010681585445591274,0.00021975302316508166,1.1856626115736282e-05,0.0013818508579098573,0.0010966115056966516,0.0010084942718736746,0.0009525469124547085,0.0004562117838264309,0.00014375422288178766,8.924768468803509e-06,0.0031320497498871446,0.0014411266643493017,0.0028921472899491115,0.00032721535326716065,0.0001544337481613527,0.00035993899951560274,0.000253216749210943,0.0013920274096504114,0.0009455690286436736,0.001979680511423389,3.4665263886560847e-07,3.3041258871337203e-09,0.004757675903695533,2.6530357971853444e-06,6.15490775916056e-06,0.001308962847625906,0.0012445480820262073,0.0013556764552263181,0.0017294906003271673,0.0034921703103551354
CAD3,0.0007788286938442803,0.04826510234362581,2.4043401047757202e-05,0.004262872243384611,0.00047195023752816717,0.00218008692365836,0.0003363894725732339,7.514379432132411e-05,0.011096846104350612,0.00016728328758403935,9.334118223045893e-05,0.2706097339390015,1.0,0.0035197296254384537,0.00023172575115950673,0.005578446910449798,0.007156746062925424,0.0001578528345533723,0.01221875045422003,0.02897548831899777,0.016432529308902117,0.0011570390847916853,2.3607457997728798e-06,1.593124444128622e-05,7.159357553878212e-05,5.3104120494763085e-09,8.1712350240483e-05,8.670060022065713e-05,0.022640018659577106,0.021127711668711333,0.01819991855968072,0.0019899025557936346,0.0002904555945761619,0.0003024500165591116,0.008298803322273252,3.2549532866783365e-06,0.018685077130357223,0.00010903968936213721,0.003638489562419013,0.008848900757417167,0.059206407931979475,0.028280342563618426,0.03791192493683949,0.025646754189395344,5.751460588881792e-05,0.017366508383081406,0.0018497664157327565,0.023122606055886383
CLlca,0.001573489361204353,0.003299420611231549,0.0004044147129788996,0.004284164947525651,0.007813368939365494,0.0033947686714178183,4.4947011967591586e-05,5.3961784264383925e-05,0.021629104447918462,0.0006542257891382361,0.00016012917855359334,7.062592984028106e-05,0.0035197296254384537,1.0,0.0023347086645868955,0.011165438847203944,0.01915636585606692,2.1018686266652466e-06,0.006085884858406825,0.0020107134512551096,0.0024322744388780592,0.0022741696729670522,0.0007980243221784418,0.0003053295362417094,0.0008128563028554027,0.0008955664029809637,0.0004486273582509863,0.0017295064189273854,0.0009659518495051988,0.004772081080812877,0.0004603890928148713,3.793267338834577e-06,0.0022733335540156612,0.0037203271676758804,0.003418336526221853,0.0014990871829717466,0.0005157953514502009,0.0009526285449002116,0.007791270208890519,0.011893977971526672,2.006920561408186e-05,0.000256315423183493,0.001341293754614394,0.0004463246032672186,0.0001401129871905098,0.0016124871001031995,0.0007014483369002156,0.01164626428996694
CLlcx,0.00021576706676065772,4.263541685751673e-05,4.575444730418976e-06,0.0005384251938502961,0.00010081135016572993,7.592943958642716e-06,0.0002870363496894557,9.738842516158343e-05,7.63621323036311e-05,0.020948275862068915,0.03458357915159515,0.0021215727464701513,0.00023172575115950673,0.0023347086645868955,1.0,0.07130366778759621,0.12233456881640702,0.0011806916467793586,1.8759501038946704e-08,0.0003565257007175914,0.0006033400232076705,2.9142208019713942e-05,0.00012234364229717033,0.003123792675673467,0.00014260873470140726,0.0018740623689196068,0.0007965824212881858,2.7932684290630168e-05,0.00015660167790252304,4.002403016889785e-08,8.680829512124307e-06,7.200226319053564e-05,0.0019092265961074579,9.052391377473823e-06,0.00011888292929279207,0.0015063442279003652,0.0008359068233062195,0.004259882852873145,1.4347182390715256e-05,0.00016724231584855728,1.6788426176993526e-05,0.0018068520580845208,0.0011061620977781779,5.889754869531569e-06,0.00012633104485184357,0.0006014171844798586,4.404695408234431e-05,0.00713779100577778
CLrca,0.0008855684102662459,0.00011373742955246503,0.000842377390803476,0.003828587899138146,0.004948811677961545,0.0019454183779425056,9.914888473511319e-06,0.00020913968374387828,0.009045423843637585,0.03146338523812187,0.025009939308316877,6.486677280334546e-08,0.005578446910449798,0.011165438847203944,0.07130366778759621,1.0,0.5850490760312247,0.0005158955106411203,0.0018798157166239236,0.0032777608518191146,0.0013825805689352557,0.0018907249634565,0.01146717131055472,0.021379929774649392,0.009671797168958876,0.03436343763811115,0.003095662346683668,0.010568596729475287,0.001176522092916431,1.6709155910534295e-05,0.006654797433798652,0.008284916486387897,0.0167683149425443,0.0009239439440457388,0.00024632823663230693,0.001650162334589305,0.000270778468737368,0.002868149171216315,0.0028299567860205557,0.0038803155285776067,0.00022899967362665605,0.00013166454100123595,2.2019632433758123e-07,0.00041422851060495447,0.002192556476708111,0.0002571575073470549,0.004239773706319619,0.06196694125357545
CLlad,0.0007647702423005024,9.121483883350598e-05,0.001022572136304179,0.0005514652307397142,0.001551173655617791,0.000846951770166787,9.314922509442949e-05,0.00031534566410901656,0.001655708099020289,0.007428808037888445,0.0015975046079635925,0.0005101319230667097,0.007156746062925424,0.01915636585606692,0.12233456881640702,0.5850490760312247,1.0,0.0021102620630962738,0.0006843421616995137,0.00275099580602844,0.0011195193819894692,0.0025249394106786963,0.010761224155916169,0.010594090518128402,0.008670884721159004,0.021114246130857987,0.0060365426480580246,0.00859982183796413,0.0014169694852928755,0.0002570599062535263,0.0050947645339678976,0.008213358886849514,0.007261868379485597,2.9337108351151497e-05,1.7890214252200972e-05,0.0032154482739176213,0.002044587195981552,0.007580915545728652,0.0003679778708602697,0.0003656998558111695,0.0005016196932678602,0.00046527182827537966,0.0009651230124604156,0.0010620799855838962,0.0010602461044266016,0.0004873294346978576,0.0034427065623937295,0.06647273954723579
TFBAN,0.0017679595088774941,1.0611691448291351e-05,0.004830754689026353,0.029036486774985108,0.02301130155908689,0.00022422632323616584,0.00023807365068260594,0.0003247302770638089,0.03387288038697967,0.0022985859475619544,0.0016149124464757262,0.0001912699925679142,0.0001578528345533723,2.1018686266652466e-06,0.0011806916467793586,0.0005158955106411203,0.0021102620630962738,1.0,0.01318589873462455,0.010855528849345038,0.01212779495096827,0.00010768754380336937,0.006898427343284286,0.012652823930525523,0.004728364191535273,0.017580344857948373,0.003463081774218858,0.006557391651225153,0.0003359138240696595,0.005621996033812426,7.844936738978532e-06,0.012302654118921761,0.007186781927744889,0.0033234753166651292,0.003807364897988262,0.00024788522768207045,0.000746564121145733,0.002733646725378812,0.014977540876460685,0.01714066966098696,0.006320544451111875,1.5999854540115771e-06,0.0017861451272588938,0.00023527688682076366,0.00033083362114397967,0.0004138048038388675,0.0015432390218984209,0.024127687224384697
KM,0.00807772722450833,6.387634561661891e-05,0.0012374312520773932,0.0071368154633124755,0.01183438695995445,0.0024475977966148233,0.005528870810568019,0.004387756687498887,0.018115832627106348,0.0001364317391772165,0.0007330662961765115,0.0010681585445591274,0.01221875045422003,0.006085884858406825,1.8759501038946704e-08,0.0018798157166239236,0.0006843421616995137,0.01318589873462455,1.0,0.425319601569475,0.3120247058150481,3.676576910774694e-05,0.004887272722683497,0.002953532025858069,0.005130180325165333,0.006412935896370558,0.006368127288961285,0.008666266576646353,8.448121639137504e-05,0.0024578456800573027,0.007194928190473738,0.008575047041912276,0.007261634071555794,0.009745705045854694,0.0002523522779965997,0.00015489526224609423,0.0015926851732379413,0.0006383166386179113,0.00828080756535468,0.02238792195556903,0.006546947000201051,0.0018678179780847457,3.946324429180014e-05,0.001058020054920638,0.00024360903824098212,0.0001832018242468088,2.671319783964619e-05,0.013451116667541986
RADT,0.0014039359657419307,0.006671571996450103,0.00037294755599468914,0.0025170698623386083,0.018018779752067834,0.0025437270426020885,0.0005355682521947831,0.0005478766500264888,0.01591891923169318,0.001248113651568384,0.000661950214707813,0.00021975302316508166,0.02897548831899777,0.0020107134512551096,0.0003565257007175914,0.0032777608518191146,0.00275099580602844,0.010855528849345038,0.425319601569475,1.0,0.5061394291226161,0.00033888553321905954,0.0005047009321177809,0.00021817600812821497,0.0014809071673438719,0.0006481511413412107,0.0027201684581491326,0.0017880357113698175,0.0030816331662521226,0.006550369474572469,0.014171105267060722,0.00458602537792016,0.002438858696267482,0.005741408287161085,0.006068135454597188,0.0006118231512041005,0.00037869416791090366,0.00047879408821288215,0.006454800720778261,0.016966413465921183,0.0011807368296368945,0.002988197468499885,0.0014705416368554264,0.0018158048869117331,0.0001328491308552562,0.007622116834081182,0.0006598769224470287,0.013121437190157029
FDP,0.016577937736848316,0.0005165795076074054,0.0423759589316323,0.011523989351517208,0.02449166975247605,0.002223076973911766,0.0014317338704884042,0.002967957612502473,0.017353623735387184,0.00041404312011913833,5.2609354959890766e-06,1.1856626115736282e-05,0.016432529308902117,0.0024322744388780592,0.0006033400232076705,0.0013825805689352557,0.0011195193819894692,0.01212779495096827,0.3120247058150481,0.5061394291226161,1.0,0.0006669229467397139,0.0021086998188622136,0.00220479240407889,0.0012788002475446667,0.004472796640925484,0.005974611141432698,0.01107753268111732,0.004385839576442047,0.008639045450139228,0.0016665602451447288,0.007878872660455977,0.006237322765521646,0.0022896703375940544,0.0012776167618512968,0.0004180803552657668,0.001079547192021681,0.003083990504104859,0.01307453803646205,0.026363725323987643,0.00013603764995245678,0.006304224266168115,0.00012814655496983174,0.0019416590115651354,3.101511020878571e-05,0.00549860155619209,0.002554130199118852,0.022411286912129468
DBT,0.0026982210570259575,0.0013741382949325736,0.0005355298425856963,0.00036281509288521325,0.0006515487527126586,6.910678934726591e-05,9.696545335213202e-05,4.1779071296991424e-05,0.00015472764526582359,7.19462028774894e-05,0.00016130564321355264,0.0013818508579098573,0.0011570390847916853,0.0022741696729670522,2.9142208019713942e-05,0.0018907249634565,0.0025249394106786963,0.00010768754380336937,3.676576910774694e-05,0.00033888553321905954,0.0006669229467397139,1.0,0.0007731174553283928,0.00037289972944957875,0.0012017341129435869,0.00033154751622783757,9.969066420294479e-05,0.00027119600317027,0.0013293135728661887,0.0008236098091861785,3.1108500969565015e-08,2.1897803523970175e-06,1.7398504332225954e-07,0.0014764560948442452,0.00414581067422229,0.00011023079899839194,0.00017083160737869945,0.0001651846219733138,0.0005552222834938007,0.00025814173815011534,0.00044733925105661196,4.032251823431849e-06,0.0006361100310132337,6.7047341278973045e-06,0.0019356500388761455,0.0007821832138347528,0.00024249259073102244,5.67581164400391e-05
CKadm,0.004785060526843793,0.005756099271126764,0.0021470603307570365,0.008203828684194333,0.017822673188345916,1.272606658685457e-05,0.03715631767248021,0.00010898230936482395,0.01420585348655626,0.0010749410107251762,0.0021910207267899938,0.0010966115056966516,2.3607457997728798e-06,0.0007980243221784418,0.00012234364229717033,0.01146717131055472,0.010761224155916169,0.006898427343284286,0.004887272722683497,0.0005047009321177809,0.0021086998188622136,0.0007731174553283928,1.0,0.1818030320314204,0.6623361038969305,0.21364902310016254,0.22330488770615395,0.08879602770489445,0.00013087798925656778,0.0016135781909077023,1.0001242182814006e-05,0.2581824871542096,0.07904596173956592,1.88434907570375e-07,0.0013092744036459002,0.0008320447118010372,3.0015656988389547e-05,0.004084058541157511,0.0073107323694576185,0.00808959147503128,0.00010945591142641489,0.002461171758608761,0.0038689320349323563,9.492345122279352e-06,0.000806569793308524,0.007024680113597005,0.00027078029625378423,0.039231745931827454
CKmax,0.005179641110993397,0.008819265536148455,0.003007892590036987,0.06434208644377139,0.10417377490120737,0.0010505967179629642,0.009871199315921704,0.002788526348462882,0.08794668010290393,4.9436318220463644e-05,1.4116845737627368e-05,0.0010084942718736746,1.593124444128622e-05,0.0003053295362417094,0.003123792675673467,0.021379929774649392,0.010594090518128402,0.012652823930525523,0.002953532025858069,0.00021817600812821497,0.00220479240407889,0.00037289972944957875,0.1818030320314204,1.0,0.1862254400074276,0.44252691587542364,0.03367479865285842,0.1259676293994048,0.010950446958534468,0.03672048335382821,2.3387153893771602e-05,0.05332054013747628,0.16291598604809107,0.0005894778941048194,0.004960674628291706,0.000806315949712572,0.0009505775792151433,0.003505677464076424,0.10450433638115596,0.12543083436016736,2.470825032629049e-07,1.9770432268660606e-05,0.0003425412300851697,0.00010000968157214499,1.0920010642766026e-06,0.006854884186398976,0.0008730523130439084,0.07152991886193401
CKMBa,0.0017227503089460117,0.0017879005983196979,0.0006582844614322121,0.021872892602701362,0.031183138096852754,0.0003674564419589844,0.004802786974403634,1.96613041769726e-05,0.033964144243642906,0.0009287407590032084,0.0020267419427036117,0.0009525469124547085,7.159357553878212e-05,0.0008128563028554027,0.00014260873470140726,0.009671797168958876,0.008670884721159004,0.004728364191535273,0.005130180325165333,0.0014809071673438719,0.0012788002475446667,0.0012017341129435869,0.6623361038969305,0.1862254400074276,1.0,0.40121406129404463,0.1805971816994864,0.11713636545108416,0.0007801616870630691,0.007286907512990316,0.0027567350246036106,0.11731195434442594,0.060348877455946345,0.00039828899308018466,0.0012102744774662693,0.001702056103664306,0.0004085732656070191,0.003211360100706967,0.03937106944785919,0.03773494837057406,0.002057773455350665,0.0028092430612837453,0.007732411314287242,5.930943804146187e-05,5.440215374064653e-06,0.007990191905149597,0.0004494238631867443,0.05521695269107145
CKMBm,0.0010641032794914968,0.004171410219099146,0.003115050618950934,0.04103929433265007,0.05748170479798135,0.002932646743743918,0.002398043728462532,0.00011614495270377698,0.07679601753603478,0.001414895580137039,0.0015786878652549227,0.0004562117838264309,5.3104120494763085e-09,0.0008955664029809637,0.0018740623689196068,0.03436343763811115,0.021114246130857987,0.017580344857948373,0.006412935896370558,0.0006481511413412107,0.004472796640925484,0.00033154751622783757,0.21364902310016254,0.44252691587542364,0.40121406129404463,1.0,0.05015003382826948,0.18496370474394913,0.0059731028185134065,0.026840163760434674,0.006832683047751085,0.030035710724218137,0.13102146719623192,0.0011362671193351124,0.0010647138784816764,0.0005569915253707941,0.0010893828657335153,0.0024417531381721196,0.08424926147939486,0.10246056659312522,0.0011401851031249135,0.00041166016160275364,0.0029381548654429093,4.021640126294735e-05,1.1431738404221099e-05,0.010976409957577683,0.0023457901445092673,0.0961058432246615
TROPa,0.00014536423291116544,0.00021416860283257763,1.396231492397959e-07,0.0008085309618419701,0.008572285244018929,0.0031845401543690605,0.027976471685039618,4.9823463007919243e-05,0.0063640251755848415,8.363817368666233e-05,0.00035301432144398316,0.00014375422288178766,8.1712350240483e-05,0.0004486273582509863,0.0007965824212881858,0.003095662346683668,0.0060365426480580246,0.003463081774218858,0.006368127288961285,0.0027201684581491326,0.005974611141432698,9.969066420294479e-05,0.22330488770615395,0.03367479865285842,0.1805971816994864,0.05015003382826948,1.0,0.3838380853126658,0.0008451229171264672,0.0012698358178510779,0.00040989271175896944,0.07068341412992805,0.021167654939328786,8.632683996990431e-05,0.0018174239263724903,0.0021934286097803207,0.00040237213585953767,0.0001384743622300569,0.0027701475127605867,0.0031253199798908895,9.653034532616984e-06,0.0001402802397558221,0.0116344241804872,0.0001410965219990195,6.311804446738542e-06,3.664122095054249e-08,0.0004743675823836319,0.01815562678117501
TROPm,5.282559198480654e-05,0.003538929432072232,8.57921702681318e-05,0.015437680896661926,0.04103442397922115,0.019006520708543116,0.010361854369462496,0.0007050674535292696,0.051768669805206925,1.2748515797609614e-05,2.496966121853777e-05,8.924768468803509e-06,8.670060022065713e-05,0.0017295064189273854,2.7932684290630168e-05,0.010568596729475287,0.00859982183796413,0.006557391651225153,0.008666266576646353,0.0017880357113698175,0.01107753268111732,0.00027119600317027,0.08879602770489445,0.1259676293994048,0.11713636545108416,0.18496370474394913,0.3838380853126658,1.0,0.010253237471272278,0.03342547427627916,0.018579657513113263,0.02638888157489424,0.1191962421085541,0.005165133973899082,0.0014209820303994676,0.002076687252329506,0.00010360575592640437,0.0014933940130070916,0.03994666302715389,0.06660208136461519,1.5706334311116755e-05,0.00044636698017839804,0.0060633231564402885,2.757039965644602e-05,0.0025785646832021253,0.0008261867348649186,0.0006989747811005594,0.04913044259955997
KREAa,0.0034294703639517264,0.017374444356530683,0.0005814944086041157,0.011954931704095473,0.01647181981978981,0.0007104138513694039,0.003770638106650637,8.033431104272683e-05,0.051701858246039165,7.747008758995188e-07,1.4681525408313896e-05,0.0031320497498871446,0.022640018659577106,0.0009659518495051988,0.00015660167790252304,0.001176522092916431,0.0014169694852928755,0.0003359138240696595,8.448121639137504e-05,0.0030816331662521226,0.004385839576442047,0.0013293135728661887,0.00013087798925656778,0.010950446958534468,0.0007801616870630691,0.0059731028185134065,0.0008451229171264672,0.010253237471272278,1.0,0.6185836866609659,0.17908690844258565,0.011349012099322705,0.01137503434704877,0.0010653871102547674,0.024553606171744232,0.0002593340454905874,0.0036857345696509926,0.0002462346552339965,0.04175102512309966,0.03959446417571724,0.0356748399530864,0.010180834419706408,0.015350727248628107,0.015674258261761595,0.009267692029643297,0.01586911655387347,0.0008536159354322961,0.03082697925707659
